URL	Question	Option A	Option B	Option C	Option D	GT	Prompt
https://attack.mitre.org/techniques/T1070/002	According to MITRE ATT&CK, what is the primary motivation behind encrypting sensitive information within system logs?	To comply with data privacy regulations.	To prevent data breaches.	To avoid giving feedback to adversaries.	To enhance log analysis efficiency.	C	You are given a multiple-choice question from CTI. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. *Question:* According to MITRE ATT&CK, what is the primary motivation behind encrypting sensitive information within system logs? *Options:* A) To comply with data privacy regulations. B) To prevent data breaches. C) To avoid giving feedback to adversaries. D) To enhance log analysis efficiency. *Important:* The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.
https://attack.mitre.org/techniques/T1070/002	Under the MITRE ATT&CK framework for Enterprise, which data source is most effective for detecting unexpected modifications to access permissions and attributes of system log files?	Command Execution	File Deletion	File Modification	Network Traffic	C	You are given a multiple-choice question from CTI. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. *Question:* Under the MITRE ATT&CK framework for Enterprise, which data source is most effective for detecting unexpected modifications to access permissions and attributes of system log files? *Options:* A) Command Execution B) File Deletion C) File Modification D) Network Traffic *Important:* The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.
https://attack.mitre.org/techniques/T1070/002	As per MITRE ATT&CK, what is the recommended mitigation strategy to prevent adversaries from manipulating log data stored on the local system?	Restricting physical access to servers.	Implementing intrusion detection systems.	Remote data storage.	Disabling remote login capabilities.	C	You are given a multiple-choice question from CTI. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. *Question:* As per MITRE ATT&CK, what is the recommended mitigation strategy to prevent adversaries from manipulating log data stored on the local system? *Options:* A) Restricting physical access to servers. B) Implementing intrusion detection systems. C) Remote data storage. D) Disabling remote login capabilities. *Important:* The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.
https://attack.mitre.org/techniques/T1070/003	According to the MITRE ATT&CK framework, which technique ID corresponds to the adversary's action of clearing command history?	T1070.004	T1562.001	T1562.006	T1059.003	C	You are given a multiple-choice question from CTI. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. *Question:* According to the MITRE ATT&CK framework, which technique ID corresponds to the adversary's action of clearing command history? *Options:* A) T1070.004 B) T1562.001 C) T1562.006 D) T1059.003 *Important:* The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.
https://attack.mitre.org/techniques/T1070/003	Under the MITRE ATT&CK framework, what is the name of the technique used by adversaries when they leverage "history -c" to clear command history in a Linux environment?	Indicator Removal on Host: File Deletion	Defense Evasion: Clear Command History	Credential Access: Brute Force	Discovery: Query Registry	B	You are given a multiple-choice question from CTI. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. *Question:* Under the MITRE ATT&CK framework, what is the name of the technique used by adversaries when they leverage "history -c" to clear command history in a Linux environment? *Options:* A) Indicator Removal on Host: File Deletion B) Defense Evasion: Clear Command History C) Credential Access: Brute Force D) Discovery: Query Registry *Important:* The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.
https://attack.mitre.org/techniques/T1070/003	Which MITRE ATT&CK sub-technique for the Enterprise platform involves modifying the contents of a command history file like "ConsoleHost_history.txt" to hide executed PowerShell commands?	T1070.006	T1059.003	T1562.001	T1562.002	D	You are given a multiple-choice question from CTI. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. *Question:* Which MITRE ATT&CK sub-technique for the Enterprise platform involves modifying the contents of a command history file like "ConsoleHost_history.txt" to hide executed PowerShell commands? *Options:* A) T1070.006 B) T1059.003 C) T1562.001 D) T1562.002 *Important:* The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.
https://attack.mitre.org/techniques/T1070/003	In the context of the MITRE ATT&CK framework, which of the following data sources is LEAST effective for detecting the use of the "Clear-History" command in PowerShell?	Process Creation	File Modification	Command Execution	PowerShell Operational Event Log	B	You are given a multiple-choice question from CTI. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. *Question:* In the context of the MITRE ATT&CK framework, which of the following data sources is LEAST effective for detecting the use of the "Clear-History" command in PowerShell? *Options:* A) Process Creation B) File Modification C) Command Execution D) PowerShell Operational Event Log *Important:* The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.
https://attack.mitre.org/techniques/T1070/003	According to MITRE ATT&CK, which mitigation strategy involves configuring restrictive permissions on environment variables related to command history, making them read-only to prevent alteration?	Remote Data Storage	Environment Variable Permissions	Data Encryption	Restrict File and Directory Permissions	B	You are given a multiple-choice question from CTI. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. *Question:* According to MITRE ATT&CK, which mitigation strategy involves configuring restrictive permissions on environment variables related to command history, making them read-only to prevent alteration? *Options:* A) Remote Data Storage B) Environment Variable Permissions C) Data Encryption D) Restrict File and Directory Permissions *Important:* The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.
https://attack.mitre.org/techniques/T1070/003	Based on the MITRE ATT&CK framework, what detection opportunity arises from monitoring for unexpected deletions of files like "ConsoleHost_history.txt" or "~/.bash_history"?	Process Creation	File Deletion	User Account Authentication	File Modification	B	You are given a multiple-choice question from CTI. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. *Question:* Based on the MITRE ATT&CK framework, what detection opportunity arises from monitoring for unexpected deletions of files like "ConsoleHost_history.txt" or "~/.bash_history"? *Options:* A) Process Creation B) File Deletion C) User Account Authentication D) File Modification *Important:* The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.
https://attack.mitre.org/techniques/T1070/003	Within the MITRE ATT&CK framework, analyzing which data component would be MOST insightful when investigating potential modifications to command history files, such as changes in access permissions or attributes?	File Modification	Process Creation	User Account Authentication	Command Execution	A	You are given a multiple-choice question from CTI. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. *Question:* Within the MITRE ATT&CK framework, analyzing which data component would be MOST insightful when investigating potential modifications to command history files, such as changes in access permissions or attributes? *Options:* A) File Modification B) Process Creation C) User Account Authentication D) Command Execution *Important:* The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.
https://attack.mitre.org/techniques/T1070/003	According to the MITRE ATT&CK framework, which specific event ID within the "WinEventLog:Security" log source should be monitored for detecting attempts to modify access rights to the "ConsoleHost_history.txt" file?	4656	4663	4672	4732	B	You are given a multiple-choice question from CTI. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. *Question:* According to the MITRE ATT&CK framework, which specific event ID within the "WinEventLog:Security" log source should be monitored for detecting attempts to modify access rights to the "ConsoleHost_history.txt" file? *Options:* A) 4656 B) 4663 C) 4672 D) 4732 *Important:* The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.
https://attack.mitre.org/techniques/T1070/003	In the context of MITRE ATT&CK, which analytic approach would be MOST effective in detecting attempts to clear PowerShell command history using commands like "rm (Get-PSReadlineOption).HistorySavePath"?	File Deletion analysis	Process Creation analysis	User Account Authentication analysis	PowerShell Script Logging analysis	B	You are given a multiple-choice question from CTI. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. *Question:* In the context of MITRE ATT&CK, which analytic approach would be MOST effective in detecting attempts to clear PowerShell command history using commands like "rm (Get-PSReadlineOption).HistorySavePath"? *Options:* A) File Deletion analysis B) Process Creation analysis C) User Account Authentication analysis D) PowerShell Script Logging analysis *Important:* The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.
https://attack.mitre.org/techniques/T1070/003	According to the MITRE ATT&CK framework, monitoring for user account authentication attempts that lack corresponding entries in command history files is a detection opportunity for which technique?	Defense Evasion: Clear Command History	Credential Access: Credentials in Files	Persistence: Account Manipulation	Discovery: System Information Discovery	A	You are given a multiple-choice question from CTI. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. *Question:* According to the MITRE ATT&CK framework, monitoring for user account authentication attempts that lack corresponding entries in command history files is a detection opportunity for which technique? *Options:* A) Defense Evasion: Clear Command History B) Credential Access: Credentials in Files C) Persistence: Account Manipulation D) Discovery: System Information Discovery *Important:* The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.
https://attack.mitre.org/techniques/T1070/004	Which MITRE ATT&CK technique involves adversaries removing files to hide their activity during or after an intrusion?	T1070.004 - File Deletion	T1562.001 - Ingress Tool Transfer	T1006 - Direct Volume Access	T1548.002 - Domain Account Compromise	A	You are given a multiple-choice question from CTI. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. *Question:* Which MITRE ATT&CK technique involves adversaries removing files to hide their activity during or after an intrusion? *Options:* A) T1070.004 - File Deletion B) T1562.001 - Ingress Tool Transfer C) T1006 - Direct Volume Access D) T1548.002 - Domain Account Compromise *Important:* The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.
https://attack.mitre.org/techniques/T1070/004	According to MITRE ATT&CK for Enterprise, which adversary used the "CCleaner" program for T1070.004 - File Deletion?	APT38	APT41	APT28	APT29	C	You are given a multiple-choice question from CTI. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. *Question:* According to MITRE ATT&CK for Enterprise, which adversary used the "CCleaner" program for T1070.004 - File Deletion? *Options:* A) APT38 B) APT41 C) APT28 D) APT29 *Important:* The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.
https://attack.mitre.org/techniques/T1070/004	In the context of MITRE ATT&CK for Enterprise, what technique ID and name describe the adversary's action of deleting "vba_macro.exe" after delivering "FONTCACHE.DAT," "rundll32.exe," and the ".lnk" file during the 2015 Ukraine Electric Power Attack?	T1070.005 - Network Share Discovery	T1070.004 - File Deletion	T1105 - Ingress Tool Transfer	T1562.001 - Command and Scripting Interpreter	B	You are given a multiple-choice question from CTI. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. *Question:* In the context of MITRE ATT&CK for Enterprise, what technique ID and name describe the adversary's action of deleting "vba_macro.exe" after delivering "FONTCACHE.DAT," "rundll32.exe," and the ".lnk" file during the 2015 Ukraine Electric Power Attack? *Options:* A) T1070.005 - Network Share Discovery B) T1070.004 - File Deletion C) T1105 - Ingress Tool Transfer D) T1562.001 - Command and Scripting Interpreter *Important:* The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.
https://attack.mitre.org/techniques/T1070/004	As per MITRE ATT&CK for Enterprise, what is the name of the utility employed by APT38 for securely deleting files from the system as part of their T1070.004 - File Deletion technique?	SDelete	CLOSESHAVE	CCleaner	rm	B	You are given a multiple-choice question from CTI. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. *Question:* As per MITRE ATT&CK for Enterprise, what is the name of the utility employed by APT38 for securely deleting files from the system as part of their T1070.004 - File Deletion technique? *Options:* A) SDelete B) CLOSESHAVE C) CCleaner D) rm *Important:* The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.
https://attack.mitre.org/techniques/T1070/004	Which MITRE ATT&CK technique involves monitoring for unexpected deletion of files from the system as a means of detecting adversary activity?	T1070.004 - File Deletion	T1562.001 - Ingress Tool Transfer	T1006 - Direct Volume Access	T1548.002 - Domain Account Compromise	A	You are given a multiple-choice question from CTI. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. *Question:* Which MITRE ATT&CK technique involves monitoring for unexpected deletion of files from the system as a means of detecting adversary activity? *Options:* A) T1070.004 - File Deletion B) T1562.001 - Ingress Tool Transfer C) T1006 - Direct Volume Access D) T1548.002 - Domain Account Compromise *Important:* The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.
https://attack.mitre.org/techniques/T1070/004	Within the MITRE ATT&CK framework for Enterprise, what data component can detect the execution of commands and arguments associated with T1070.004 - File Deletion, such as unlinking, renaming, or deleting files?	File	Process	Network Traffic	Registry	A	You are given a multiple-choice question from CTI. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. *Question:* Within the MITRE ATT&CK framework for Enterprise, what data component can detect the execution of commands and arguments associated with T1070.004 - File Deletion, such as unlinking, renaming, or deleting files? *Options:* A) File B) Process C) Network Traffic D) Registry *Important:* The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.
https://attack.mitre.org/techniques/T1070/004	According to MITRE ATT&CK for Enterprise, apart from T1070.004 - File Deletion, what other technique ID and name are related to monitoring for actions like unlinking and renaming files?	T1562 - Command and Scripting Interpreter	T1006 - Direct Volume Access	T1036.005 - Create Account: Local Account	T1548.002 - Domain Account Compromise	A	You are given a multiple-choice question from CTI. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. *Question:* According to MITRE ATT&CK for Enterprise, apart from T1070.004 - File Deletion, what other technique ID and name are related to monitoring for actions like unlinking and renaming files? *Options:* A) T1562 - Command and Scripting Interpreter B) T1006 - Direct Volume Access C) T1036.005 - Create Account: Local Account D) T1548.002 - Domain Account Compromise *Important:* The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.
https://attack.mitre.org/techniques/T1070/004	In the context of MITRE ATT&CK for Enterprise, which adversary employed a "suicide script" as part of their T1070.004 - File Deletion tactic to remove malware binaries from the victim's system?	Lazarus Group	APT38	FIN8	Dragonfly	A	You are given a multiple-choice question from CTI. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. *Question:* In the context of MITRE ATT&CK for Enterprise, which adversary employed a "suicide script" as part of their T1070.004 - File Deletion tactic to remove malware binaries from the victim's system? *Options:* A) Lazarus Group B) APT38 C) FIN8 D) Dragonfly *Important:* The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.
https://attack.mitre.org/techniques/T1070/004	As per MITRE ATT&CK for Enterprise, what technique involves monitoring executed commands and arguments for actions that could be used to unlink, rename, or delete files, aligning with the T1070.004 - File Deletion technique?	Process Monitoring	File Integrity Monitoring	Network Traffic Analysis	Log Analysis	A	You are given a multiple-choice question from CTI. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. *Question:* As per MITRE ATT&CK for Enterprise, what technique involves monitoring executed commands and arguments for actions that could be used to unlink, rename, or delete files, aligning with the T1070.004 - File Deletion technique? *Options:* A) Process Monitoring B) File Integrity Monitoring C) Network Traffic Analysis D) Log Analysis *Important:* The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.
https://attack.mitre.org/techniques/T1070/004	According to MITRE ATT&CK for Enterprise, which adversary utilized the "rd /s" command for T1070.004 - File Deletion, aiming to remove their working directories and files?	Volt Typhoon	Lazarus Group	APT38	FIN8	A	You are given a multiple-choice question from CTI. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. *Question:* According to MITRE ATT&CK for Enterprise, which adversary utilized the "rd /s" command for T1070.004 - File Deletion, aiming to remove their working directories and files? *Options:* A) Volt Typhoon B) Lazarus Group C) APT38 D) FIN8 *Important:* The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.
https://attack.mitre.org/techniques/T1070/005	Which MITRE ATT&CK technique involves adversaries removing network share connections to cover their tracks?	T1070.004 - Indicator Removal from Tools	T1562.001 - Indicator Removal on Host: Network Share Connection Removal	T1106 - Execution through Module Load	T1027.004 - Obfuscated Files or Information: Software Packing	B	You are given a multiple-choice question from CTI. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. *Question:* Which MITRE ATT&CK technique involves adversaries removing network share connections to cover their tracks? *Options:* A) T1070.004 - Indicator Removal from Tools B) T1562.001 - Indicator Removal on Host: Network Share Connection Removal C) T1106 - Execution through Module Load D) T1027.004 - Obfuscated Files or Information: Software Packing *Important:* The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.
https://attack.mitre.org/techniques/T1070/005	Within the context of MITRE ATT&CK, which tool is specifically mentioned as having the capability to disconnect previously connected remote drives?	Net	RobbinHood	InvisiMole	Threat Group-3390	C	You are given a multiple-choice question from CTI. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. *Question:* Within the context of MITRE ATT&CK, which tool is specifically mentioned as having the capability to disconnect previously connected remote drives? *Options:* A) Net B) RobbinHood C) InvisiMole D) Threat Group-3390 *Important:* The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.
https://attack.mitre.org/techniques/T1070/005	According to the provided MITRE ATT&CK information, what command line argument is used with the "net use" command to remove an established network share connection?	/disconnect	/remove	/delete	/terminate	C	You are given a multiple-choice question from CTI. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. *Question:* According to the provided MITRE ATT&CK information, what command line argument is used with the "net use" command to remove an established network share connection? *Options:* A) /disconnect B) /remove C) /delete D) /terminate *Important:* The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.
https://attack.mitre.org/techniques/T1070/005	In the MITRE ATT&CK framework, which Data Component involves analyzing captured and decoded SMB traffic to identify suspicious network share activity?	Command Execution	Network Traffic Content	Process Creation	User Account Authentication	B	You are given a multiple-choice question from CTI. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. *Question:* In the MITRE ATT&CK framework, which Data Component involves analyzing captured and decoded SMB traffic to identify suspicious network share activity? *Options:* A) Command Execution B) Network Traffic Content C) Process Creation D) User Account Authentication *Important:* The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.
https://attack.mitre.org/techniques/T1070/005	Which specific event ID within the Windows Security Log is associated with the creation of a new process, potentially indicating the execution of a command to remove network share connections?	Event ID 1	Event ID 11	Event ID 4688	Event ID 7045	C	You are given a multiple-choice question from CTI. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. *Question:* Which specific event ID within the Windows Security Log is associated with the creation of a new process, potentially indicating the execution of a command to remove network share connections? *Options:* A) Event ID 1 B) Event ID 11 C) Event ID 4688 D) Event ID 7045 *Important:* The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.
https://attack.mitre.org/techniques/T1070/005	According to the MITRE ATT&CK framework, which adversary is known to detach network shares after exfiltrating files to avoid detection?	InvisiMole	RobbinHood	Threat Group-3390	APT29	C	You are given a multiple-choice question from CTI. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. *Question:* According to the MITRE ATT&CK framework, which adversary is known to detach network shares after exfiltrating files to avoid detection? *Options:* A) InvisiMole B) RobbinHood C) Threat Group-3390 D) APT29 *Important:* The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.
https://attack.mitre.org/techniques/T1070/005	In the context of MITRE ATT&CK, what PowerShell command is mentioned as a means to remove file shares, potentially for malicious purposes?	Remove-FileShare	Disable-FileShare	Delete-FileShare	Stop-FileShare	A	You are given a multiple-choice question from CTI. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. *Question:* In the context of MITRE ATT&CK, what PowerShell command is mentioned as a means to remove file shares, potentially for malicious purposes? *Options:* A) Remove-FileShare B) Disable-FileShare C) Delete-FileShare D) Stop-FileShare *Important:* The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.
https://attack.mitre.org/techniques/T1070/005	According to the MITRE ATT&CK framework, what type of logs can help correlate network share activity with specific user accounts, aiding in the investigation of potentially malicious actions?	DNS Logs	Firewall Logs	Windows Authentication Logs	Web Server Logs	C	You are given a multiple-choice question from CTI. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. *Question:* According to the MITRE ATT&CK framework, what type of logs can help correlate network share activity with specific user accounts, aiding in the investigation of potentially malicious actions? *Options:* A) DNS Logs B) Firewall Logs C) Windows Authentication Logs D) Web Server Logs *Important:* The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.
https://attack.mitre.org/techniques/T1070/005	Based on MITRE ATT&CK, which specific Sysmon Event ID should be monitored for the creation of processes, which could be related to malicious network share removal attempts?	Event ID 3	Event ID 1	Event ID 11	Event ID 4688	B	You are given a multiple-choice question from CTI. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. *Question:* Based on MITRE ATT&CK, which specific Sysmon Event ID should be monitored for the creation of processes, which could be related to malicious network share removal attempts? *Options:* A) Event ID 3 B) Event ID 1 C) Event ID 11 D) Event ID 4688 *Important:* The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.
https://attack.mitre.org/techniques/T1070/005	According to the provided MITRE ATT&CK information, which utility, alongside its specific command, is mentioned for removing network share connections?	net, net use \\system\share /delete	net, net use * /DELETE /Y	InvisiMole, disconnect-share	RobbinHood, remove-share	A	You are given a multiple-choice question from CTI. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. *Question:* According to the provided MITRE ATT&CK information, which utility, alongside its specific command, is mentioned for removing network share connections? *Options:* A) net, net use \\system\share /delete B) net, net use * /DELETE /Y C) InvisiMole, disconnect-share D) RobbinHood, remove-share *Important:* The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.
https://attack.mitre.org/techniques/T1070/006	Which MITRE ATT&CK technique involves modifying file timestamps to conceal malicious activity?	A) File Deletion (T1070)	B) Timestomping (T1070.006)	C) File System Permissions Weakness (T1268)	D) Indicator Removal on Host (T1070.002)	B	You are given a multiple-choice question from CTI. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. *Question:* Which MITRE ATT&CK technique involves modifying file timestamps to conceal malicious activity? *Options:* A) A) File Deletion (T1070) B) B) Timestomping (T1070.006) C) C) File System Permissions Weakness (T1268) D) D) Indicator Removal on Host (T1070.002) *Important:* The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.
